job,Q,k,alpha,mu_token,v,r_max_mm,z_max_mm,increment,odb_path
1020_2a_32_rd_1500_cal_100_v_10_fric_0100,0.15,1.0,16.0,0100,10.0,18.001,135.2,5944777,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_100_v_10_fric_0100.odb
1020_2a_32_rd_1500_cal_100_v_10_fric_025,0.15,1.0,16.0,025,10.0,18.001,135.2,5944777,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_100_v_10_fric_025.odb
1020_2a_32_rd_1500_cal_100_v_10_fric_050,0.15,1.0,16.0,050,10.0,18.001,135.2,5944777,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_100_v_10_fric_050.odb
1020_2a_32_rd_1500_cal_10_v_10_fric_0100,0.15,0.1,16.0,0100,10.0,18.001,131.6,5289987,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_10_v_10_fric_0100.odb
1020_2a_32_rd_1500_cal_10_v_10_fric_025,0.15,0.1,16.0,025,10.0,18.001,131.6,5289987,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_10_v_10_fric_025.odb
1020_2a_32_rd_1500_cal_10_v_10_fric_050,0.15,0.1,16.0,050,10.0,18.001,131.7,4884564,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_10_v_10_fric_050.odb
1020_2a_32_rd_1500_cal_30_v_10_fric_0100,0.15,0.3,16.0,0100,10.0,18.001,132.4,5433614,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_30_v_10_fric_0100.odb
1020_2a_32_rd_1500_cal_30_v_10_fric_025,0.15,0.3,16.0,025,10.0,18.001,132.4,5433614,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_30_v_10_fric_025.odb
1020_2a_32_rd_1500_cal_30_v_10_fric_050,0.15,0.3,16.0,050,10.0,18.001,132.4,5433614,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_30_v_10_fric_050.odb
1020_2a_32_rd_1500_cal_50_v_10_fric_0100,0.15,0.5,16.0,0100,10.0,18.001,133.2,5585906,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_50_v_10_fric_0100.odb
1020_2a_32_rd_1500_cal_50_v_10_fric_025,0.15,0.5,16.0,025,10.0,18.001,133.2,5585906,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_50_v_10_fric_025.odb
1020_2a_32_rd_1500_cal_50_v_10_fric_050,0.15,0.5,16.0,050,10.0,18.001,133.2,5585906,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_50_v_10_fric_050.odb
1020_2a_32_rd_1500_cal_75_v_10_fric_0100,0.15,0.75,16.0,0100,10.0,18.001,134.2,5766359,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_75_v_10_fric_0100.odb
1020_2a_32_rd_1500_cal_75_v_10_fric_025,0.15,0.75,16.0,025,10.0,18.001,134.2,5766359,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_75_v_10_fric_025.odb
1020_2a_32_rd_1500_cal_75_v_10_fric_050,0.15,0.75,16.0,050,10.0,18.001,134.2,5766359,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_75_v_10_fric_050.odb
1020_2a_32_rd_150_cal_0_v_10_fric_0100,0.015,0.0,16.0,0100,10.0,18.351,111.8,3251081,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_0_v_10_fric_0100.odb
1020_2a_32_rd_150_cal_0_v_10_fric_025,0.015,0.0,16.0,025,10.0,18.351,111.8,3251081,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_0_v_10_fric_025.odb
1020_2a_32_rd_150_cal_0_v_10_fric_050,0.015,0.0,16.0,050,10.0,18.351,111.8,3251081,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_0_v_10_fric_050.odb
1020_2a_32_rd_150_cal_100_v_10_fric_0100,0.015,1.0,16.0,0100,10.0,18.369,112.3,3745698,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_100_v_10_fric_0100.odb
1020_2a_32_rd_150_cal_100_v_10_fric_025,0.015,1.0,16.0,025,10.0,18.369,112.3,3745698,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_100_v_10_fric_025.odb
1020_2a_32_rd_150_cal_100_v_10_fric_050,0.015,1.0,16.0,050,10.0,18.369,112.3,3745698,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_100_v_10_fric_050.odb
1020_2a_32_rd_150_cal_10_v_10_fric_0100,0.015,0.1,16.0,0100,10.0,18.384,112.1,3308948,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_10_v_10_fric_0100.odb
1020_2a_32_rd_150_cal_10_v_10_fric_025,0.015,0.1,16.0,025,10.0,18.384,112.1,3308948,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_10_v_10_fric_025.odb
1020_2a_32_rd_150_cal_10_v_10_fric_050,0.015,0.1,16.0,050,10.0,18.384,112.1,3308948,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_10_v_10_fric_050.odb
1020_2a_32_rd_150_cal_30_v_10_fric_0100,0.015,0.3,16.0,0100,10.0,18.417,112.1,3407463,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_30_v_10_fric_0100.odb
1020_2a_32_rd_150_cal_30_v_10_fric_025,0.015,0.3,16.0,025,10.0,18.417,112.1,3407463,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_30_v_10_fric_025.odb
1020_2a_32_rd_150_cal_30_v_10_fric_050,0.015,0.3,16.0,050,10.0,18.417,112.1,3407463,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_30_v_10_fric_050.odb
1020_2a_32_rd_150_cal_50_v_10_fric_0100,0.015,0.5,16.0,0100,10.0,18.435,112.2,3505818,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_50_v_10_fric_0100.odb
